# file_id	N	w (rpm)	T (x10^-2 Nm)	f_e (Hz)	MS	PS_A	PS_B	PS_C
data_001	22000	1500	30	25.5	0	0	0	0
data_002	22000	1500	30	25.5	1	1	0	0
data_003	22000	1500	90	28.0	0	0	0	0
data_004	22000	1500	90	28.0	1	1	0	0
data_005	22000	2250	30	38.1	0	0	0	0
data_006	22000	2250	30	38.1	0	0	0	0
data_007	22000	2250	30	38.1	1	1	0	0
data_008	22000	2250	30	38.1	1	1	0	0
data_009	22000	2250	125	42.0	0	0	0	0
data_010	22000	2250	125	42.0	1	1	0	0
data_011	22000	2250	125	42.0	1	1	0	0
data_012	22000	3000	30	50.6	0	0	0	0
data_013	22000	3000	30	50.6	0	0	0	0
data_014	22000	3000	30	50.6	1	1	0	0
data_015	22000	3000	30	50.6	1	1	0	0
data_016	22000	3000	120	54.4	0	0	0	0
data_017	22000	3000	130	54.8	1	1	0	0
data_018	22000	3000	135	55.3	0	0	0	0
data_019	22000	3000	135	55.3	1	1	0	0
data_020	22000	3750	30	63.1	0	0	0	0
data_021	22000	3750	30	63.1	0	0	0	0
data_022	22000	3750	30	63.1	1	1	0	0
data_023	22000	3750	30	63.1	1	1	0	0
data_024	22000	3750	125	67.5	0	0	0	0
data_025	22000	3750	125	67.5	1	1	0	0
data_026	22000	3750	125	67.5	1	1	0	0
data_027	22000	4500	30	75.6	0	0	0	0
data_028	22000	4500	30	75.6	0	0	0	0
data_029	22000	4500	30	75.6	1	1	0	0
data_030	22000	4500	30	75.6	1	1	0	0
data_031	22000	4500	115	79.8	0	0	0	0
data_032	22000	4500	115	79.8	0	0	0	0
data_033	22000	4500	115	79.8	1	1	0	0
data_034	22000	4500	115	79.8	1	1	0	0
