# Model parameters:
# init_model_file = 
# data_dir = ../data
# train_dataset_file = ../dataset/train_filelist.txt
# val_dataset_file = ../dataset/train_filelist.txt
# test_dataset_file = ../dataset/test_filelist.txt
# train_val_split_ratio = 0.7
# num_classes = 2
# num_hidden_nodes1 = 32
# num_hidden_nodes2 = 64
# data_length = 5
# sampling_frequency = 40000
# use_zero_vectors = True
# balanced_dataset = False
# batch_size = 32
# learning_rate = 0.0003
# num_epochs = 50
# save_interval = 10
# metrics_file = loss_data
# model_dir = saved_models
# Training Data - num_samples: 385890
# Validation Data - num_samples: 90310
# Validation Data - num_samples: 90310
# epoch	training_acc	training_loss	validation_acc	validation_loss	test_acc	test_loss
1	0.789	0.410	0.954	0.158	0.952	0.127
2	0.926	0.186	0.957	0.124	0.957	0.108
3	0.934	0.168	0.955	0.129	0.956	0.110
4	0.935	0.165	0.953	0.130	0.955	0.111
5	0.936	0.162	0.954	0.125	0.956	0.107
6	0.937	0.159	0.954	0.124	0.956	0.108
7	0.938	0.158	0.960	0.115	0.960	0.104
8	0.938	0.157	0.954	0.127	0.955	0.112
9	0.939	0.155	0.956	0.119	0.958	0.105
10	0.939	0.154	0.956	0.115	0.960	0.102
11	0.939	0.154	0.952	0.124	0.955	0.107
12	0.940	0.153	0.958	0.114	0.958	0.102
13	0.940	0.152	0.955	0.116	0.956	0.105
14	0.940	0.152	0.955	0.118	0.956	0.106
15	0.940	0.151	0.955	0.120	0.957	0.106
16	0.940	0.151	0.956	0.116	0.957	0.105
17	0.941	0.150	0.955	0.115	0.957	0.103
18	0.941	0.150	0.953	0.121	0.956	0.105
19	0.941	0.150	0.956	0.115	0.958	0.101
20	0.941	0.150	0.956	0.116	0.957	0.102
21	0.941	0.149	0.956	0.115	0.958	0.104
22	0.941	0.149	0.953	0.120	0.956	0.105
23	0.941	0.149	0.953	0.129	0.955	0.110
24	0.942	0.148	0.954	0.117	0.957	0.105
25	0.942	0.148	0.952	0.128	0.955	0.109
26	0.941	0.148	0.956	0.113	0.957	0.104
27	0.942	0.147	0.956	0.112	0.958	0.102
28	0.942	0.147	0.953	0.124	0.956	0.107
29	0.942	0.147	0.954	0.122	0.955	0.108
30	0.942	0.147	0.954	0.117	0.957	0.103
31	0.942	0.146	0.954	0.117	0.957	0.104
32	0.942	0.146	0.953	0.119	0.956	0.104
33	0.942	0.146	0.955	0.115	0.957	0.103
34	0.942	0.146	0.956	0.113	0.957	0.102
35	0.942	0.146	0.955	0.114	0.957	0.103
36	0.942	0.146	0.957	0.113	0.958	0.102
37	0.942	0.146	0.955	0.113	0.957	0.103
38	0.943	0.145	0.957	0.111	0.958	0.101
39	0.943	0.145	0.959	0.108	0.959	0.100
40	0.942	0.146	0.958	0.108	0.959	0.100
41	0.943	0.145	0.957	0.112	0.958	0.101
42	0.943	0.146	0.954	0.116	0.957	0.102
43	0.943	0.145	0.957	0.109	0.960	0.101
44	0.942	0.146	0.958	0.108	0.959	0.100
45	0.943	0.145	0.959	0.108	0.959	0.099
46	0.943	0.145	0.953	0.117	0.956	0.104
47	0.943	0.145	0.955	0.110	0.957	0.101
48	0.943	0.145	0.954	0.121	0.956	0.106
49	0.943	0.145	0.952	0.124	0.955	0.106
50	0.943	0.144	0.955	0.113	0.957	0.102
