# Model parameters:
# init_model_file = 
# data_dir = ../data
# train_dataset_file = ../dataset/train_filelist.txt
# val_dataset_file = ../dataset/train_filelist.txt
# test_dataset_file = ../dataset/test_filelist.txt
# train_val_split_ratio = 0.7
# num_classes = 2
# num_hidden_nodes1 = 64
# num_hidden_nodes2 = 64
# data_length = 5
# sampling_frequency = 40000
# use_zero_vectors = True
# balanced_dataset = False
# batch_size = 32
# learning_rate = 0.0003
# num_epochs = 50
# save_interval = 10
# metrics_file = loss_data
# model_dir = saved_models
# Training Data - num_samples: 385890
# Validation Data - num_samples: 90310
# Validation Data - num_samples: 90310
# epoch	training_acc	training_loss	validation_acc	validation_loss	test_acc	test_loss
1	0.827	0.344	0.957	0.112	0.958	0.104
2	0.941	0.152	0.955	0.117	0.956	0.106
3	0.942	0.147	0.955	0.114	0.956	0.106
4	0.943	0.146	0.954	0.118	0.955	0.110
5	0.943	0.144	0.956	0.107	0.959	0.100
6	0.944	0.143	0.956	0.108	0.957	0.103
7	0.944	0.142	0.956	0.109	0.957	0.102
8	0.944	0.141	0.954	0.115	0.956	0.106
9	0.944	0.140	0.952	0.126	0.952	0.116
10	0.945	0.139	0.956	0.107	0.958	0.101
11	0.945	0.138	0.956	0.106	0.957	0.103
12	0.945	0.138	0.953	0.111	0.956	0.102
13	0.945	0.137	0.956	0.107	0.957	0.102
14	0.946	0.137	0.956	0.102	0.959	0.099
15	0.946	0.136	0.955	0.106	0.957	0.102
16	0.946	0.136	0.955	0.106	0.956	0.102
17	0.946	0.136	0.954	0.107	0.957	0.102
18	0.946	0.135	0.954	0.104	0.960	0.098
19	0.946	0.135	0.955	0.109	0.956	0.103
20	0.946	0.134	0.955	0.103	0.957	0.099
21	0.946	0.135	0.954	0.106	0.956	0.100
22	0.947	0.134	0.955	0.103	0.957	0.099
23	0.947	0.134	0.954	0.106	0.957	0.100
24	0.946	0.134	0.954	0.112	0.955	0.107
25	0.947	0.133	0.955	0.102	0.958	0.097
26	0.947	0.133	0.954	0.108	0.956	0.101
27	0.947	0.133	0.955	0.103	0.957	0.097
28	0.947	0.133	0.952	0.103	0.960	0.099
29	0.947	0.133	0.954	0.106	0.956	0.102
30	0.947	0.132	0.954	0.112	0.956	0.106
31	0.947	0.132	0.955	0.102	0.957	0.099
32	0.947	0.132	0.956	0.101	0.957	0.099
33	0.947	0.132	0.955	0.102	0.959	0.097
34	0.947	0.132	0.954	0.108	0.956	0.102
35	0.947	0.132	0.955	0.103	0.957	0.098
36	0.947	0.132	0.953	0.104	0.956	0.099
37	0.947	0.132	0.955	0.102	0.958	0.098
38	0.947	0.132	0.954	0.112	0.954	0.107
39	0.947	0.131	0.953	0.106	0.956	0.101
40	0.947	0.132	0.954	0.107	0.956	0.103
41	0.947	0.131	0.955	0.101	0.959	0.096
42	0.947	0.131	0.955	0.103	0.957	0.100
43	0.947	0.131	0.953	0.104	0.956	0.100
44	0.947	0.131	0.955	0.103	0.957	0.099
45	0.947	0.131	0.954	0.104	0.957	0.099
46	0.947	0.131	0.955	0.102	0.957	0.099
47	0.947	0.131	0.954	0.104	0.956	0.100
48	0.947	0.131	0.953	0.105	0.956	0.099
49	0.947	0.130	0.955	0.099	0.957	0.098
50	0.947	0.131	0.954	0.104	0.957	0.100
