# Model parameters:
# init_model_file = 
# data_dir = ../data
# train_dataset_file = ../dataset/train_filelist.txt
# val_dataset_file = ../dataset/train_filelist.txt
# test_dataset_file = ../dataset/test_filelist.txt
# train_val_split_ratio = 0.7
# num_classes = 2
# num_hidden_nodes1 = 64
# num_hidden_nodes2 = 64
# data_length = 5
# sampling_frequency = 40000
# use_zero_vectors = True
# balanced_dataset = False
# batch_size = 32
# learning_rate = 0.0003
# num_epochs = 50
# save_interval = 10
# metrics_file = loss_data
# model_dir = saved_models
# Training Data - num_samples: 385890
# Validation Data - num_samples: 90310
# Validation Data - num_samples: 90310
# epoch	training_acc	training_loss	validation_acc	validation_loss	test_acc	test_loss
1	0.749	0.460	0.826	0.297	0.876	0.220
2	0.865	0.282	0.835	0.289	0.901	0.201
3	0.877	0.256	0.873	0.234	0.933	0.144
4	0.882	0.246	0.860	0.246	0.920	0.163
5	0.884	0.239	0.852	0.246	0.911	0.167
6	0.887	0.235	0.868	0.232	0.927	0.152
7	0.889	0.231	0.869	0.228	0.931	0.142
8	0.891	0.227	0.896	0.182	0.948	0.106
9	0.893	0.224	0.870	0.231	0.924	0.157
10	0.896	0.220	0.871	0.225	0.927	0.150
11	0.899	0.216	0.944	0.177	0.955	0.111
12	0.902	0.213	0.952	0.167	0.959	0.102
13	0.903	0.209	0.946	0.170	0.953	0.109
14	0.904	0.207	0.944	0.173	0.955	0.108
15	0.906	0.204	0.917	0.203	0.941	0.137
16	0.907	0.203	0.945	0.168	0.949	0.114
17	0.908	0.201	0.960	0.173	0.955	0.110
18	0.908	0.201	0.905	0.185	0.948	0.116
19	0.909	0.199	0.952	0.167	0.963	0.096
20	0.910	0.200	0.944	0.159	0.950	0.107
21	0.910	0.197	0.906	0.172	0.947	0.115
22	0.911	0.196	0.948	0.155	0.954	0.098
23	0.910	0.196	0.948	0.158	0.955	0.102
24	0.911	0.195	0.946	0.157	0.955	0.097
25	0.913	0.193	0.928	0.167	0.952	0.105
26	0.914	0.193	0.942	0.163	0.951	0.108
27	0.914	0.192	0.959	0.151	0.956	0.100
28	0.915	0.190	0.927	0.150	0.953	0.095
29	0.915	0.190	0.946	0.161	0.957	0.106
30	0.915	0.189	0.939	0.159	0.950	0.108
31	0.915	0.188	0.944	0.165	0.951	0.113
32	0.915	0.188	0.905	0.178	0.939	0.126
33	0.916	0.188	0.954	0.158	0.958	0.102
34	0.916	0.187	0.906	0.160	0.949	0.108
35	0.916	0.187	0.949	0.151	0.955	0.098
36	0.916	0.186	0.929	0.167	0.948	0.111
37	0.916	0.186	0.917	0.156	0.954	0.097
38	0.917	0.185	0.946	0.152	0.952	0.107
39	0.918	0.185	0.958	0.146	0.953	0.112
40	0.918	0.183	0.965	0.142	0.956	0.102
41	0.918	0.183	0.967	0.156	0.952	0.102
42	0.919	0.182	0.949	0.150	0.955	0.097
43	0.918	0.184	0.974	0.138	0.953	0.093
44	0.918	0.182	0.931	0.153	0.951	0.100
45	0.919	0.182	0.950	0.161	0.955	0.102
46	0.919	0.182	0.965	0.152	0.952	0.108
47	0.920	0.180	0.940	0.161	0.948	0.110
48	0.919	0.181	0.955	0.139	0.960	0.093
49	0.920	0.181	0.951	0.154	0.958	0.106
50	0.920	0.180	0.942	0.143	0.950	0.105
